CRASH DATE,BOROUGH,LATITUDE,LONGITUDE
11/02/2022,BROOKLYN,40.652767,-73.8863
11/02/2022,BROOKLYN,40.635365,-73.92571
11/02/2022,BROOKLYN,40.664658,-73.90559
11/02/2022,BROOKLYN,40.586918,-73.96387
11/02/2022,BROOKLYN,40.674725,-73.90525
11/02/2022,BROOKLYN,40.646034,-73.91276
11/02/2022,BROOKLYN,40.662457,-73.89172
11/02/2022,BROOKLYN,40.648212,-73.97066
11/02/2022,BROOKLYN,40.684563,-73.93238
11/02/2022,BROOKLYN,40.67884,-73.96845
11/02/2022,BROOKLYN,40.639053,-73.9213
11/02/2022,BROOKLYN,40.707222,-73.94321
11/02/2022,BROOKLYN,40.65011,-73.930214
11/02/2022,BROOKLYN,40.678116,-73.92172
11/02/2022,BROOKLYN,40.672886,-73.87117
11/02/2022,BROOKLYN,40.694557,-73.906555
11/02/2022,BROOKLYN,40.650402,-73.89422
11/02/2022,BROOKLYN,40.612915,-74.004364
11/02/2022,BROOKLYN,40.6634,-73.97785
11/02/2022,BROOKLYN,40.684803,-73.9794
11/02/2022,BROOKLYN,40.693203,-73.953995
11/02/2022,BROOKLYN,40.630356,-73.90256
11/02/2022,BROOKLYN,40.674812,-73.86363
11/02/2022,BROOKLYN,40.638435,-74.01008
11/02/2022,BROOKLYN,40.58794,-73.97434
11/02/2022,BROOKLYN,40.645176,-73.99232
11/02/2022,BROOKLYN,40.697803,-73.969734
11/02/2022,BROOKLYN,40.633007,-73.941864
11/02/2022,BROOKLYN,40.65993,-73.891655
11/02/2022,BROOKLYN,40.66702,-73.87521
11/02/2022,BROOKLYN,40.613117,-73.9122
11/02/2022,BROOKLYN,40.714005,-73.94172
11/02/2022,BROOKLYN,40.657227,-73.900764
11/02/2022,BROOKLYN,40.646572,-73.89617
11/02/2022,BROOKLYN,40.703434,-73.96035
11/02/2022,BROOKLYN,40.648533,-74.01752
11/02/2022,BROOKLYN,40.63347,-74.02102
11/02/2022,BROOKLYN,40.62372,-74.01308
11/02/2022,BROOKLYN,40.6321,-73.96889
11/02/2022,BROOKLYN,40.634796,-73.88929
11/02/2022,BROOKLYN,40.63512,-73.929634
11/02/2022,BROOKLYN,40.70749,-73.9609
11/02/2022,BROOKLYN,40.655518,-74.00645
11/02/2022,BROOKLYN,40.700726,-73.94194
11/02/2022,BROOKLYN,40.62814,-73.977715
11/02/2022,BROOKLYN,40.66384,-73.91091
11/02/2022,BROOKLYN,40.6714,-73.91117
11/02/2022,BROOKLYN,40.66714,-73.95925
11/02/2022,BROOKLYN,40.682655,-73.910034
11/02/2022,BROOKLYN,40.58557,-73.969284
11/02/2022,BROOKLYN,40.678154,-73.92224
11/02/2022,BROOKLYN,40.661835,-73.94619
11/02/2022,BROOKLYN,40.65389,-73.95443
11/02/2022,BROOKLYN,40.663265,-73.99145
11/03/2022,BROOKLYN,40.681286,-73.872986
11/03/2022,BROOKLYN,40.673996,-73.92785
11/03/2022,BROOKLYN,40.634205,-74.00588
11/03/2022,BROOKLYN,40.666126,-73.9953
11/03/2022,BROOKLYN,40.694275,-73.99243
11/03/2022,BROOKLYN,40.626823,-73.973335
11/03/2022,BROOKLYN,40.63713,-74.004265
11/03/2022,BROOKLYN,40.695118,-73.96343
11/03/2022,BROOKLYN,40.654408,-73.910774
11/03/2022,BROOKLYN,40.617275,-73.96667
11/03/2022,BROOKLYN,40.59938,-73.95141
11/03/2022,BROOKLYN,40.619274,-74.03572
11/03/2022,BROOKLYN,40.67887,-73.92165
11/03/2022,BROOKLYN,40.705334,-73.931625
11/03/2022,BROOKLYN,40.63775,-73.90322
11/03/2022,BROOKLYN,40.720894,-73.94657
11/03/2022,BROOKLYN,40.594006,-73.96337
11/03/2022,BROOKLYN,40.650288,-73.9978
11/03/2022,BROOKLYN,40.67929,-73.91106
11/03/2022,BROOKLYN,40.670006,-73.95328
11/03/2022,BROOKLYN,40.675735,-73.89686
11/03/2022,BROOKLYN,40.69313,-73.96984
11/03/2022,BROOKLYN,40.670624,-73.895546
11/03/2022,BROOKLYN,40.6568,-73.928
11/03/2022,BROOKLYN,40.63804,-73.95484
11/03/2022,BROOKLYN,40.71472,-73.92961
11/03/2022,BROOKLYN,40.687176,-74.00068
11/03/2022,BROOKLYN,40.678993,-73.99296
11/03/2022,BROOKLYN,40.644615,-73.992905
11/03/2022,BROOKLYN,40.693314,-73.92496
11/03/2022,BROOKLYN,40.70242,-73.9867
11/03/2022,BROOKLYN,40.65545,-73.863335
11/03/2022,BROOKLYN,40.73027,-73.953476
11/03/2022,BROOKLYN,40.6433,-73.99427
11/03/2022,BROOKLYN,40.652412,-73.95423
11/03/2022,BROOKLYN,40.6752,-73.950005
11/03/2022,BROOKLYN,0,0
11/03/2022,BROOKLYN,40.651394,-73.95899
11/03/2022,BROOKLYN,40.698254,-73.90878
11/03/2022,BROOKLYN,40.677753,-73.88265
11/03/2022,BROOKLYN,40.689453,-73.924034
11/03/2022,BROOKLYN,40.661186,-73.944695
11/03/2022,BROOKLYN,40.67591,-73.89492
11/03/2022,BROOKLYN,40.661926,-73.93014
11/03/2022,BROOKLYN,40.65443,-74.00757
11/03/2022,BROOKLYN,40.635258,-73.92745
11/03/2022,BROOKLYN,40.680733,-73.87253
11/03/2022,BROOKLYN,40.68085,-73.97112
11/03/2022,BROOKLYN,40.636806,-73.99204
11/03/2022,BROOKLYN,40.71249,-73.93848
11/03/2022,BROOKLYN,40.64664,-73.95506
11/03/2022,BROOKLYN,40.714382,-73.93345
11/03/2022,BROOKLYN,40.622963,-74.01184
11/03/2022,BROOKLYN,40.69885,-73.95783
11/03/2022,BROOKLYN,40.68039,-73.94956
11/03/2022,BROOKLYN,40.682777,-73.98242
11/03/2022,BROOKLYN,40.67666,-73.91694
11/03/2022,BROOKLYN,40.66827,-73.90263
11/03/2022,BROOKLYN,40.643574,-73.97166
11/03/2022,BROOKLYN,40.675735,-73.89686
11/03/2022,BROOKLYN,40.672024,-73.98732
11/03/2022,BROOKLYN,40.64651,-73.94815
11/03/2022,BROOKLYN,40.632065,-73.91861
11/03/2022,BROOKLYN,40.67698,-73.91737
11/03/2022,BROOKLYN,40.668594,-73.90759
11/04/2022,BROOKLYN,40.675625,-73.89879
11/04/2022,BROOKLYN,40.661385,-73.8841
11/04/2022,BROOKLYN,40.65239,-73.92655
11/04/2022,BROOKLYN,40.63063,-73.89906
11/04/2022,BROOKLYN,40.667686,-73.89581
11/04/2022,BROOKLYN,40.64967,-73.95237
11/04/2022,BROOKLYN,40.633865,-73.919815
11/04/2022,BROOKLYN,40.677357,-73.88687
11/04/2022,BROOKLYN,40.616425,-73.94688
11/04/2022,BROOKLYN,40.67809,-73.8842
11/04/2022,BROOKLYN,40.703373,-73.93764
11/04/2022,BROOKLYN,40.68876,-73.98085
11/04/2022,BROOKLYN,40.66475,-73.89405
11/04/2022,BROOKLYN,40.630684,-73.94542
11/04/2022,BROOKLYN,40.684376,-73.92741
11/04/2022,BROOKLYN,40.633026,-73.92546
11/04/2022,BROOKLYN,40.660854,-73.97958
11/04/2022,BROOKLYN,40.695217,-73.93749
11/04/2022,BROOKLYN,40.692005,-73.98111
11/04/2022,BROOKLYN,40.716442,-73.95848
11/04/2022,BROOKLYN,40.676094,-73.94992
11/04/2022,BROOKLYN,40.660774,-73.88549
11/04/2022,BROOKLYN,40.68016,-73.893196
11/04/2022,BROOKLYN,40.68561,-73.867775
11/04/2022,BROOKLYN,40.663628,-73.90921
11/04/2022,BROOKLYN,40.612854,-73.96001
11/04/2022,BROOKLYN,40.645615,-74.02056
11/04/2022,BROOKLYN,40.698452,-73.92176
11/04/2022,BROOKLYN,40.657936,-73.92067
11/04/2022,BROOKLYN,40.68544,-73.88202
11/04/2022,BROOKLYN,40.61298,-73.92631
11/04/2022,BROOKLYN,40.61458,-74.022804
11/04/2022,BROOKLYN,40.630672,-73.981895
11/04/2022,BROOKLYN,40.615093,-73.96436
11/04/2022,BROOKLYN,40.71337,-73.934814
11/04/2022,BROOKLYN,40.726402,-73.95478
11/04/2022,BROOKLYN,40.671616,-73.89775
11/04/2022,BROOKLYN,40.681393,-73.99408
11/04/2022,BROOKLYN,40.70082,-73.957466
11/04/2022,BROOKLYN,40.57698,-73.981575
11/04/2022,BROOKLYN,40.610565,-73.92219
11/04/2022,BROOKLYN,40.682823,-73.976585
11/04/2022,BROOKLYN,40.6256,-73.93916
11/04/2022,BROOKLYN,40.640045,-73.94745
11/04/2022,BROOKLYN,0,0
11/04/2022,BROOKLYN,40.619392,-73.94746
11/04/2022,BROOKLYN,40.654663,-73.96242
11/04/2022,BROOKLYN,40.666134,-73.99224
11/04/2022,BROOKLYN,40.654953,-74.00703
11/04/2022,BROOKLYN,40.661385,-73.95362
11/04/2022,BROOKLYN,40.72218,-73.949875
11/04/2022,BROOKLYN,40.66255,-73.90893
11/04/2022,BROOKLYN,40.652386,-74.002754
11/04/2022,BROOKLYN,40.611156,-74.03256
11/04/2022,BROOKLYN,40.63276,-73.88358
11/04/2022,BROOKLYN,40.69726,-73.93577
11/04/2022,BROOKLYN,40.66384,-73.91104
11/04/2022,BROOKLYN,40.643745,-73.97009
11/04/2022,BROOKLYN,40.676327,-73.86547
11/04/2022,BROOKLYN,40.65698,-73.88943
11/04/2022,BROOKLYN,40.632584,-74.00631
11/04/2022,BROOKLYN,40.71808,-73.95962
11/04/2022,BROOKLYN,40.60118,-73.99098
11/05/2022,BROOKLYN,40.658577,-73.89063
11/05/2022,BROOKLYN,40.679367,-73.94477
11/05/2022,BROOKLYN,40.583374,-73.95129
11/05/2022,BROOKLYN,40.626892,-74.03262
11/05/2022,BROOKLYN,40.725708,-73.9388
11/05/2022,BROOKLYN,40.696182,-73.93384
11/05/2022,BROOKLYN,40.64162,-73.96259
11/05/2022,BROOKLYN,40.678726,-73.91906
11/05/2022,BROOKLYN,40.66384,-73.8784
11/05/2022,BROOKLYN,40.630333,-73.91944
11/05/2022,BROOKLYN,40.62903,-73.96702
11/05/2022,BROOKLYN,40.689327,-73.92342
11/05/2022,BROOKLYN,40.66041,-73.93424
11/05/2022,BROOKLYN,40.731422,-73.94641
11/05/2022,BROOKLYN,40.649498,-73.962906
11/05/2022,BROOKLYN,40.67629,-73.998
11/05/2022,BROOKLYN,40.688847,-73.92119
11/05/2022,BROOKLYN,40.723484,-73.95165
11/05/2022,BROOKLYN,40.685368,-73.9109
11/05/2022,BROOKLYN,40.66898,-73.89782
11/05/2022,BROOKLYN,40.697853,-73.93325
11/05/2022,BROOKLYN,40.64741,-73.95887
11/05/2022,BROOKLYN,,
11/05/2022,BROOKLYN,40.655334,-73.93077
11/05/2022,BROOKLYN,40.70335,-73.94755
11/05/2022,BROOKLYN,40.619873,-74.00508
11/05/2022,BROOKLYN,,
11/05/2022,BROOKLYN,40.609417,-73.9677
11/05/2022,BROOKLYN,40.69268,-73.93998
11/05/2022,BROOKLYN,40.655815,-73.88856
11/05/2022,BROOKLYN,40.661533,-73.878845
11/05/2022,BROOKLYN,40.6048,-73.966805
11/05/2022,BROOKLYN,40.67079,-73.903275
11/05/2022,BROOKLYN,40.688904,-73.980934
11/05/2022,BROOKLYN,40.64224,-73.95774
11/05/2022,BROOKLYN,40.73186,-73.951904
11/05/2022,BROOKLYN,40.655495,-73.88833
11/05/2022,BROOKLYN,40.657093,-73.95026
11/05/2022,BROOKLYN,40.666615,-73.940544
11/05/2022,BROOKLYN,40.683582,-73.953964
11/05/2022,BROOKLYN,40.652626,-74.00617
11/05/2022,BROOKLYN,40.713516,-73.94251
11/05/2022,BROOKLYN,40.70992,-73.9623
11/05/2022,BROOKLYN,40.619545,-73.91727
11/05/2022,BROOKLYN,40.630333,-73.91944
11/05/2022,BROOKLYN,40.66685,-73.8907
11/05/2022,BROOKLYN,40.714134,-73.9485
11/05/2022,BROOKLYN,40.627987,-73.91625
11/05/2022,BROOKLYN,40.70153,-73.92314
11/05/2022,BROOKLYN,40.63408,-73.94661
11/05/2022,BROOKLYN,40.63226,-73.90088
11/05/2022,BROOKLYN,40.64242,-73.89156
11/05/2022,BROOKLYN,40.669098,-73.93666
11/05/2022,BROOKLYN,40.692993,-73.930695
